Date,Category,IncidntNum
07/01/2011 12:00:00 AM,ARSON,20
07/01/2011 12:00:00 AM,VANDALISM,598
08/01/2011 12:00:00 AM,VANDALISM,562
08/01/2011 12:00:00 AM,STOLEN PROPERTY,81
08/01/2011 12:00:00 AM,VEHICLE THEFT,370
08/01/2011 12:00:00 AM,ARSON,17
08/01/2011 12:00:00 AM,LARCENY/THEFT,2148
08/01/2011 12:00:00 AM,BURGLARY,466
09/01/2011 12:00:00 AM,VANDALISM,525
09/01/2011 12:00:00 AM,LARCENY/THEFT,2077
09/01/2011 12:00:00 AM,VEHICLE THEFT,454
09/01/2011 12:00:00 AM,ARSON,18
09/01/2011 12:00:00 AM,STOLEN PROPERTY,67
09/01/2011 12:00:00 AM,BURGLARY,467
10/01/2011 12:00:00 AM,LARCENY/THEFT,2327
10/01/2011 12:00:00 AM,ARSON,14
10/01/2011 12:00:00 AM,STOLEN PROPERTY,64
10/01/2011 12:00:00 AM,VEHICLE THEFT,513
10/01/2011 12:00:00 AM,BURGLARY,421
10/01/2011 12:00:00 AM,VANDALISM,595
11/01/2011 12:00:00 AM,BURGLARY,475
11/01/2011 12:00:00 AM,LARCENY/THEFT,2238
11/01/2011 12:00:00 AM,VEHICLE THEFT,451
11/01/2011 12:00:00 AM,ARSON,17
11/01/2011 12:00:00 AM,STOLEN PROPERTY,76
11/01/2011 12:00:00 AM,VANDALISM,541
12/01/2011 12:00:00 AM,BURGLARY,476
12/01/2011 12:00:00 AM,LARCENY/THEFT,2428
12/01/2011 12:00:00 AM,ARSON,12
12/01/2011 12:00:00 AM,VEHICLE THEFT,500
12/01/2011 12:00:00 AM,STOLEN PROPERTY,63
12/01/2011 12:00:00 AM,VANDALISM,630
01/01/2012 12:00:00 AM,ARSON,29
01/01/2012 12:00:00 AM,VANDALISM,605
01/01/2012 12:00:00 AM,BURGLARY,471
01/01/2012 12:00:00 AM,VEHICLE THEFT,428
01/01/2012 12:00:00 AM,LARCENY/THEFT,2201
01/01/2012 12:00:00 AM,STOLEN PROPERTY,75
02/01/2012 12:00:00 AM,VEHICLE THEFT,474
02/01/2012 12:00:00 AM,ARSON,16
02/01/2012 12:00:00 AM,BURGLARY,465
02/01/2012 12:00:00 AM,VANDALISM,604
02/01/2012 12:00:00 AM,STOLEN PROPERTY,71
